TAG,ID,ID_ORG,ORGANISATION,ADDRESS,LOCATION,STATE,POSTCODE,REGION,PHONE,TOLLFREE,MOBILE,FAX,EMAIL,WEBSITE,CATEGORIES,ANZSIC_CODE,ANZSIC_DESCRIPTION
ABS,23655,11523657,Cheveux By Anthony Anjoul,Shop 6 459-463 Church St,North Parramatta,NSW,1750,SYDNEY,02 96302000,,,,cheveuxbyanthonyanjoul@gmail.com,www.cheveuxbyanthonyanjoul.com/,Hair,9511,Hairdressing and Beauty Services
ABS,24654,11524656,Absolute Perfection,Parramatta Great Western Hwy,Sydney,NSW,2000,SYDNEY,,,0419 269499,,robyn.vernon@optusnet.com.au,www.absoluteperfection.com.au,Beauty,9511,Hairdressing and Beauty Services
ABS,25462,11525464,Amy-Jean Brows,Suite 918 Level 9 185 Elizabeth St,Sydney,NSW,2000,SYDNEY,,,0414 288533,,sydney@amyjean.com.au,www.amyjean.com.au,Beauty,9511,Hairdressing and Beauty Services
ABS,25574,11525576,Ania's Mobile Hairdressing,,Sydney,NSW,2000,SYDNEY,,,0422 818638,,anna.lelek@wp.pl,,Hair,9511,Hairdressing and Beauty Services
ABS,25852,11525854,Artful Romance - Bridal hair,,Sydney,NSW,2000,SYDNEY,,,0416 073445,,info@artfulromance.com.au,www.artfulromance.com.au,Hair,9511,Hairdressing and Beauty Services
ABS,25862,11525864,Artis Hairdressing,6 Bridge St,Sydney,NSW,2000,SYDNEY,02 92522100,,,,info@artishairdressing.com.au,www.artishairdressing.com.au,Hair,9511,Hairdressing and Beauty Services
ABS,26634,11526636,Ayurve Spa,1 / 436 George St,Sydney,NSW,2000,SYDNEY,02 82974844,,,,feelgood@ayurve.com,www.ayurve.com,Massage and Spa,9511,Hairdressing and Beauty Services
ABS,26674,11526676,Babylon Barbershop,Shop 119/ 289 Sussex,Sydney,NSW,2000,SYDNEY,02 92836776,,,,aroundyou@babylonbarbaershop.com.au,,Hair,9511,Hairdressing and Beauty Services
ABS,26704,11526706,Bailey Joh Hairdressers Pty Ltdu00A0,1 Martin Pl,Sydney,NSW,2000,SYDNEY,02 92314411,,,,charlotte.laight@yahoo.com,,Hair,9511,Hairdressing and Beauty Services
ABS,26989,11526991,Beauty Grace,Level 5 61-63 Market St,Sydney,NSW,2000,SYDNEY,02 92663200,,0468 326900,,accounts@beautygrace.com.au,www.beautygrace.com.au/,Beauty,9511,Hairdressing and Beauty Services
ABS,26996,11526998,Beauty Salon Upstairs,Level 1 Suite 106 / 375 George St,Sydney,NSW,2000,SYDNEY,02 92993533,,,,kasiunia@tpg.com.au,www.beautysalonupstairs.com.au,Beauty,9511,Hairdressing and Beauty Services
ABS,27441,11527443,Body Ethics Institute,Suite 602/ 72 Pitt St,Sydney,NSW,2000,SYDNEY,02 80338354,,,,info@bodyethics.com.au,www.bodyethics.com.au,Beauty,9511,Hairdressing and Beauty Services
ABS,27469,11527471,Bombay Brow Bar,The Dymocks Building/ Level 4/Shop 15b/ 424 George St,Sydney,NSW,2000,SYDNEY,,,0404 111233,,hello@bombaybrowbar.com.au,www.bombaybrow.bar,Beauty,9511,Hairdressing and Beauty Services
ABS,27777,11527779,Bruno F Hair Face Body,Shop 8A 76 Castlereagh Strs,Sydney,NSW,2000,SYDNEY,02 92324447,,,,brunofhair@bigpond.com,www.brunof.com.au,Hair,9511,Hairdressing and Beauty Services
ABS,27778,11527780,Bruno F. Hair. Face. Body,"Shop 8, St James Arcade, 76 Castlereagh Street",Sydney,NSW,2000,SYDNEY,02 92324447,,,,flambard@bigpond.net.au,www.brunof.com.au,Hair,9511,Hairdressing and Beauty Services
ABS,28713,11528716,Cherie Hair Design,Shop 115 8 Quay St,Haymarket,NSW,2000,SYDNEY,02 92812776,,,,cherie_alex00@yahoo.com,,Hair,9511,Hairdressing and Beauty Services
ABS,28729,11528732,Chi The Spa at Shangri La,176 Cumberland St,The Rocks,NSW,2000,SYDNEY,02 92506032,,,,chispa.slsn@sharila.com,,Massage and Spa,9511,Hairdressing and Beauty Services
ABS,28894,11528897,Christopher Hanna Platinum,Sheriton On The Park 128 Castlereagh St,Sydney,NSW,2000,SYDNEY,02 92830151,,,,info@christopherhanna.com.au,,Hair,9511,Hairdressing and Beauty Services
ABS,29145,11529148,Classic Beauty Salon,5 Hunter St,Sydney,NSW,2000,SYDNEY,02 92315025,,,,info@classicbeauty.com.au,www.classicbeauty.com.au/facialsydney.html,Beauty,9511,Hairdressing and Beauty Services
ABS,29317,11529320,Coco Beauty,Sky View Shopping Plaza Shop 5 537 George St,Sydney,NSW,2000,SYDNEY,02 83867673,,,,info@cocobeauty.com.au,www.cocobeauty.com.au,Beauty,9511,Hairdressing and Beauty Services
